id;recipient_id;type;message;is_read;created_at
971c5e91-77f9-46df-875b-2fb9d174f986;2476ff10-1a55-487a-89c6-be06053f35a9;fooey weight;../fake-data/blob/hipster.txt;false;2025-04-21T12:26:01
7ad7b38c-0a63-4ea8-b7d3-216b0fe5cd59;096d1886-b464-40da-86e1-80983e4fe583;unto;../fake-data/blob/hipster.txt;false;2025-04-21T08:32:13
297671f8-e166-427e-b0c2-361e0fdabe66;5db62eed-5319-4de5-b40c-22808425d166;aw;../fake-data/blob/hipster.txt;true;2025-04-21T11:21:57
8ae951fc-4ef8-4b85-b46e-8c999b104853;e655d27a-230d-44a2-b2e2-ba096e7dd31b;overstay once exacerbate;../fake-data/blob/hipster.txt;true;2025-04-21T16:54:29
6d9607c4-5652-45ac-8fe3-99f0dbb8d964;6d0252f5-f101-44ff-9991-578514611da9;inasmuch fond lonely;../fake-data/blob/hipster.txt;false;2025-04-21T22:58:01
83bbf3ee-b980-4c9d-8cc6-7fb28a7dd01b;240bc6f1-10a6-4ad2-a25a-e10963aedbdf;furthermore;../fake-data/blob/hipster.txt;true;2025-04-21T19:24:11
d409a857-ab51-46b7-8ee5-ea740ea39e09;2c5270a9-8bf1-4fe6-b342-91d9cff9e523;any aside aha;../fake-data/blob/hipster.txt;true;2025-04-22T00:47:31
143402a4-74f6-4859-aaf7-b230492287e6;36e51549-f11e-4131-8914-cbe1f09f5e2a;who;../fake-data/blob/hipster.txt;false;2025-04-21T07:36:49
e3e0826a-a9e6-4164-9d25-ab9d69026cc4;9fd0822b-8dee-4d39-812a-66717ab3e041;scarper;../fake-data/blob/hipster.txt;false;2025-04-22T01:14:33
ddfcdb5e-31d7-41af-8c6e-2b71fffc4480;390443de-9295-4c98-8f9c-6c213722a659;lest lest;../fake-data/blob/hipster.txt;false;2025-04-22T03:53:53
